Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
VGIR11,22L1013767,AF,spe,,,,,,,,,,
VGIR11,22E1211649,AF,terreno,spe,CF,,,,,,,,
VGIR11,23K1511855,AF,spe,F,,,,,,,,,
VGIR11,24A1828538,AF,imovel,A,,,,,,,,,
VGIR11,22K1684666,AF,spe,,,,,,,,,,
VGIR11,22D0836679,CL,,,,,,,,,,,
VGIR11,24G1972260,AF,imovel,CF,A,,,,,,,,
VGIR11,24E1753141,AF,imovel,terreno,CF,A,,,,,,,
VGIR11,23J1928151,AF,imovel,spe,CF,F,,,,,,,
VGIR11,21L0002653,AF,terreno,,,,,,,,,,
VGIR11,23F1688312,AF,terreno,spe,CF,A,,,,,,,
VGIR11,20J0764341,AF,terreno,,,,,,,,,,
VGIR11,21F1076974,AF,spe,,,,,,,,,,
VGIR11,23D1611321,AF,terreno,spe,CF,A,F,,,,,,
VGIR11,22D0847835,AF,spe,,,,,,,,,,
VGIR11,23L1958573,AF,spe,CF,A,,,,,,,,
VGIR11,22K1377349,CF,,,,,,,,,,,
VGIR11,21E0608916,AF,terreno,spe,CF,socios,,,,,,,
VGIR11,22E1313665,AF,spe,CF,A,,,,,,,,
VGIR11,24I1148077,AF,terreno,,,,,,,,,,
VGIR11,23G1265217,AF,terreno,spe,CF,F,,,,,,,
VGIR11,21F1076950,AF,spe,,,,,,,,,,
VGIR11,22B0512752,AF,terreno,spe,A,,,,,,,,
VGIR11,20J0764140,AF,terreno,,,,,,,,,,
VGIR11,22L0179634,AF,terreno,spe,CF,F,,,,,,,
VGIR11,22A0788605,AF,spe,,,,,,,,,,
VGIR11,20D0892140,AF,terreno,,,,,,,,,,
VGIR11,22A0883092,CF,AF,spe,F,,,,,,,,
VGIR11,22H1318883,AF,terreno,spe,CF,A,,,,,,,
VGIR11,22D0847833,AF,spe,,,,,,,,,,
VGIR11,24D3464295,AF,terreno,spe,CF,F,,,,,,,
VGIR11,24G1559252,AF,terreno,spe,CF,,,,,,,,
VGIR11,24I1465223,AF,imovel,,,,,,,,,,
VGIR11,22D0634282,AF,terreno,spe,CF,,,,,,,,
VGIR11,23F1689784,AF,terreno,spe,CF,F,,,,,,,
VGIR11,22C0927973,AF,terreno,spe,CF,,,,,,,,
VGIR11,24E1730283,AF,imovel,terreno,CF,A,,,,,,,
VGIR11,22H1319855,AF,imovel,spe,A,,,,,,,,
VGIR11,24A2692084,CF,,,,,,,,,,,
VGIR11,22J1021044,AF,terreno,spe,CF,F,,,,,,,
VGIR11,22J0123615,AF,terreno,spe,A,,,,,,,,
VGIR11,19B0177968,CF,A,,,,,,,,,,
VGIR11,21L0729731,AF,imovel,,,,,,,,,,
VGIR11,21L0729728,AF,imovel,,,,,,,,,,
VGIR11,19E0281174,AF,imovel,,,,,,,,,,
VGIR11,23L1958694,AF,spe,CF,A,,,,,,,,
VGIR11,24E1235616,AF,terreno,,,,,,,,,,
VGIR11,18D0698877,CF,A,,,,,,,,,,
VGIR11,22J0070436,AF,terreno,spe,A,,,,,,,,
VGIR11,24H2371352,AF,terreno,,,,,,,,,,
VGIR11,19L0909950,AF,imovel,spe,CF,F,,,,,,,
VGIR11,24A2191067,AF,terreno,spe,CF,A,,,,,,,
MXRF11,24C1526928,A,CF,recebiveis/ credito/ direito creditorio,A,AF,,,,,,,
MXRF11,24G1557250,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",FR,,,,,,,
MXRF11,23D1515316,AF,imovel,F,,,,,,,,,
MXRF11,22C0983841,FR,FR,AF,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,
MXRF11,24A2246360,AF,imovel,FR,FR,F,,,,,,,
MXRF11,24E2453531,CF,A,FR,FR,AF,spe,,,,,,
MXRF11,23H1074707,AF,CF,recebiveis/ credito/ direito creditorio,F,,,,,,,,
MXRF11,20B0817201,FR,F,banco,AF,imovel,imovel,,,,,,
MXRF11,24E3191022,AF,imovel,CF,FR,,,,,,,,
MXRF11,22L1314899,AF,cepac,AF,"cotas de fundo (fip, fii etc.) e acoes",AF,imovel,,,,,,
MXRF11,21K1073642,AF,imovel,CF,recebiveis/ credito/ direito creditorio,S,FR,FR,FR,,,,
MXRF11,21F0568504,CF,AF,imovel,A,FR,,,,,,,
MXRF11,21H0975635,AF,imovel,FR,S,,,,,,,,
MXRF11,21F0211653,CF,AF,imovel,A,FR,FR,,,,,,
MXRF11,23F2427206,AF,R,CF,S,,,,,,,,
MXRF11,23H1539646,AF,imovel,FR,FR,F,,,,,,,
MXRF11,23G2239867,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,FR,S,A,,,,,,
MXRF11,24B1276266,AF,imovel,FR,F,,,,,,,,
MXRF11,21H0697914,CF,recebiveis/ credito/ direito creditorio,AF,imovel,A,socios,,,,,,
MXRF11,24C1990828,FR,FR,,,,,,,,,,
MXRF11,20J0812309,AF,imovel,FR,,,,,,,,,
MXRF11,24C1998433,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",FR,,,,,,,
MXRF11,20L0653519,AF,imovel,S,FR,,,,,,,,
MXRF11,22F0783773,AF,imovel,F,,,,,,,,,
MXRF11,23F1241290,FR,FR,,,,,,,,,,
MXRF11,22L1173045,A,,,,,,,,,,,
MXRF11,24C1690314,F,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,CF,recebiveis/ credito/ direito creditorio,,,,,,
MXRF11,23K2260145,AF,FR,FR,,,,,,,,,
MXRF11,24D0480929,AF,S,F,FR,,,,,,,,
MXRF11,20G0800227,AF,CF,recebiveis/ credito/ direito creditorio,,,,,,,,,
MXRF11,24B1276268,AF,imovel,FR,F,,,,,,,,
MXRF11,19I0737680,CF,dividendos,AF,SUB,,,,,,,,
MXRF11,23D1175169,AF,imovel,F,,,,,,,,,
MXRF11,22F1357736,AF,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,,,
MXRF11,21G0154352,A,F,AF,spe,CF,recebiveis/ credito/ direito creditorio,,,,,,
MXRF11,20A0982855,CF,alugueis,AF,imovel,A,,,,,,,
MXRF11,19L0838765,,,,,,,,,,,,
MXRF11,22F0715946,AF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,CF,A,,,,,,
MXRF11,19F0922610,CF,AF,spe,FR,,,,,,,,
MXRF11,21L0823062,R,FR,R,CF,,,,,,,,
MXRF11,21D0429192,CF,recebiveis/ credito/ direito creditorio,F,FR,,,,,,,,
MXRF11,19L0909950,CF,alugueis,AF,imovel,A,,,,,,,
