Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
VGIR11,22L1013767,AF,spe,,,,,,,,,,
VGIR11,22E1211649,AF,terreno,spe,CF,,,,,,,,
VGIR11,23K1511855,AF,spe,fianca,,,,,,,,,
VGIR11,24A1828538,AF,imovel,aval,,,,,,,,,
VGIR11,22K1684666,AF,spe,,,,,,,,,,
VGIR11,22D0836679,clean,,,,,,,,,,,
VGIR11,24G1972260,AF,imovel,CF,aval,,,,,,,,
VGIR11,24E1753141,AF,imovel,terreno,CF,aval,,,,,,,
VGIR11,23J1928151,AF,imovel,spe,CF,fianca,,,,,,,
VGIR11,21L0002653,AF,terreno,,,,,,,,,,
VGIR11,23F1688312,AF,terreno,spe,CF,aval,,,,,,,
VGIR11,20J0764341,AF,terreno,,,,,,,,,,
VGIR11,21F1076974,AF,spe,,,,,,,,,,
VGIR11,23D1611321,AF,terreno,spe,CF,aval,fianca,,,,,,
VGIR11,22D0847835,AF,spe,,,,,,,,,,
VGIR11,23L1958573,AF,spe,CF,aval,,,,,,,,
VGIR11,22K1377349,CF,,,,,,,,,,,
VGIR11,21E0608916,AF,terreno,spe,CF,socios,,,,,,,
VGIR11,22E1313665,AF,spe,CF,aval,,,,,,,,
VGIR11,24I1148077,AF,terreno,,,,,,,,,,
VGIR11,23G1265217,AF,terreno,spe,CF,fianca,,,,,,,
VGIR11,21F1076950,AF,spe,,,,,,,,,,
VGIR11,22B0512752,AF,terreno,spe,aval,,,,,,,,
VGIR11,20J0764140,AF,terreno,,,,,,,,,,
VGIR11,22L0179634,AF,terreno,spe,CF,fianca,,,,,,,
VGIR11,22A0788605,AF,spe,,,,,,,,,,
VGIR11,20D0892140,AF,terreno,,,,,,,,,,
VGIR11,22A0883092,cessao fiduciaria,AF,spe,fianca,,,,,,,,
VGIR11,22H1318883,AF,terreno,spe,CF,aval,,,,,,,
VGIR11,22D0847833,AF,spe,,,,,,,,,,
VGIR11,24D3464295,AF,terreno,spe,CF,fianca,,,,,,,
VGIR11,24G1559252,AF,terreno,spe,CF,,,,,,,,
VGIR11,24I1465223,AF,imovel,,,,,,,,,,
VGIR11,22D0634282,AF,terreno,spe,CF,,,,,,,,
VGIR11,23F1689784,AF,terreno,spe,CF,fianca,,,,,,,
VGIR11,22C0927973,AF,terreno,spe,CF,,,,,,,,
VGIR11,24E1730283,AF,imovel,terreno,CF,aval,,,,,,,
VGIR11,22H1319855,AF,imovel,spe,aval,,,,,,,,
VGIR11,24A2692084,CF,,,,,,,,,,,
VGIR11,22J1021044,AF,terreno,spe,CF,fianca,,,,,,,
VGIR11,22J0123615,AF,terreno,spe,aval,,,,,,,,
VGIR11,19B0177968,CF,aval,,,,,,,,,,
VGIR11,21L0729731,AF,imovel,,,,,,,,,,
VGIR11,21L0729728,AF,imovel,,,,,,,,,,
VGIR11,19E0281174,AF,imovel,,,,,,,,,,
VGIR11,23L1958694,AF,spe,CF,aval,,,,,,,,
VGIR11,24E1235616,AF,terreno,,,,,,,,,,
VGIR11,18D0698877,CF,aval,,,,,,,,,,
VGIR11,22J0070436,AF,terreno,spe,aval,,,,,,,,
VGIR11,24H2371352,AF,terreno,,,,,,,,,,
VGIR11,19L0909950,AF,imovel,spe,CF,fianca,,,,,,,
VGIR11,24A2191067,AF,terreno,spe,CF,aval,,,,,,,
MXRF11,24C1526928,aval,cessao fiduciaria,recebiveis/ credito/ direito creditorio,A,AF,,,,,,,
MXRF11,24G1557250,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",fundo reserva,,,,,,,
MXRF11,23D1515316,AF,imovel,fianca,,,,,,,,,
MXRF11,22C0983841,fundo reserva,fundo reserva,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,
MXRF11,24A2246360,AF,imovel,fundo reserva,fundo reserva,fianca,,,,,,,
MXRF11,24E2453531,cessao fiduciaria,aval,fundo reserva,fundo reserva,alienacao fiduciaria,spe,,,,,,
MXRF11,23H1074707,AF,CF,recebiveis/ credito/ direito creditorio,fianca,,,,,,,,
MXRF11,20B0817201,fundo reserva,fianca,banco,AF,imovel,imovel,,,,,,
MXRF11,24E3191022,AF,imovel,cessao fiduciaria,fundo reserva,,,,,,,,
MXRF11,22L1314899,alienacao fiduciaria,cepac,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",alienacao fiduciaria,imovel,,,,,,
MXRF11,21K1073642,AF,imovel,CF,recebiveis/ credito/ direito creditorio,seguro,fundo reserva,fundo reserva,fundo reserva,,,,
MXRF11,21F0568504,cessao fiduciaria,alienacao fiduciaria,imovel,aval,fundo reserva,,,,,,,
MXRF11,21H0975635,alienacao fiduciaria,imovel,fundo reserva,seguro,,,,,,,,
MXRF11,21F0211653,cessao fiduciaria,alienacao fiduciaria,imovel,aval,fundo reserva,fundo reserva,,,,,,
MXRF11,23F2427206,AF,R,cessao fiduciaria,seguro,,,,,,,,
MXRF11,23H1539646,AF,imovel,fundo reserva,fundo reserva,fianca,,,,,,,
MXRF11,23G2239867,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,fundo reserva,seguro,aval,,,,,,
MXRF11,24B1276266,AF,imovel,fundo reserva,fianca,,,,,,,,
MXRF11,21H0697914,cessao fiduciaria,recebiveis/ credito/ direito creditorio,alienacao fiduciaria,imovel,aval,socios,,,,,,
MXRF11,24C1990828,fundo reserva,fundo reserva,,,,,,,,,,
MXRF11,20J0812309,AF,imovel,fundo reserva,,,,,,,,,
MXRF11,24C1998433,alienacao fiduciaria,imovel,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",fundo reserva,,,,,,,
MXRF11,20L0653519,alienacao fiduciaria,imovel,seguro,fundo reserva,,,,,,,,
MXRF11,22F0783773,AF,imovel,fianca,,,,,,,,,
MXRF11,23F1241290,fundo reserva,fundo reserva,,,,,,,,,,
MXRF11,22L1173045,aval,,,,,,,,,,,
MXRF11,24C1690314,fianca,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",spe,cessao fiduciaria,recebiveis/ credito/ direito creditorio,,,,,,
MXRF11,23K2260145,alienacao fiduciaria,fundo reserva,fundo reserva,,,,,,,,,
MXRF11,24D0480929,alienacao fiduciaria,seguro,fianca,fundo reserva,,,,,,,,
MXRF11,20G0800227,AF,cessao fiduciaria,recebiveis/ credito/ direito creditorio,,,,,,,,,
MXRF11,24B1276268,AF,imovel,fundo reserva,fianca,,,,,,,,
